,season,mp_x,fga,fta,orb,drb,ast,stl,blk,pf,pts,age_x,x2pa,x3pa,experience_y,injuries
0,1997,873153,279255,87942,45340.0,101695.0,82218,29073.0,17103.0,82488,336203,27160,218070,61185.0,5234,284
1,1998,885570,291118,92883,46814.0,100722.0,82439,30700.0,17316.0,82232,343174,23841,241792,49326.0,4756,156
2,1999,452808,146152,48594,23599.0,53818.0,39436,15878.0,8933.0,42682,171056,19423,121153,24999.0,3983,395
3,2000,681392,234954,71247,34458.0,84321.0,61734,22748.0,13678.0,66469,275089,18446,196398,38556.0,3830,326
4,2001,816392,265086,80129,41857.0,103983.0,73055,26101.0,17600.0,78044,308188,23435,223952,41134.0,5145,335
5,2002,755170,256873,73020,37194.0,91445.0,71411,24483.0,15757.0,66382,298643,18564,209584,47289.0,3890,318
6,2003,739275,248442,73231,35460.0,90744.0,67401,24301.0,13810.0,65806,289473,17777,202585,45857.0,3709,309
7,2004,980645,320416,93125,48536.0,122369.0,86032,31895.0,20308.0,88823,370003,28507,262920,57496.0,6288,356
8,2005,930465,310677,94641,43892.0,111854.0,83661,29330.0,16866.0,89181,368040,26512,245941,64736.0,6100,625
9,2006,848609,275322,90994,37802.0,101319.0,71156,24822.0,14813.0,80613,335474,23924,218060,57262.0,4988,938
10,2007,767087,253033,81149,33220.0,91019.0,71680,23347.0,13029.0,68716,310449,18521,198376,54657.0,3871,962
11,2008,904186,296511,87435,43228.0,116985.0,80203,27281.0,18347.0,81184,356538,28841,231599,64912.0,6377,859
12,2009,937284,313126,92142,40707.0,114823.0,81059,28236.0,16975.0,81315,381409,27144,238391,74735.0,6150,755
13,2010,907302,302399,90718,42166.0,113448.0,75812,27498.0,18324.0,78132,366030,26857,234847,67552.0,5785,883
14,2011,1063922,354722,103739,44479.0,127919.0,96783,32099.0,19754.0,93532,429773,31236,266117,88605.0,6823,600
15,2012,620909,206956,56992,29093.0,79179.0,54198,19636.0,13547.0,51048,242525,20567,161101,45855.0,4356,780
16,2013,813945,272594,70068,35986.0,100532.0,75412,25432.0,16094.0,67161,320807,23713,203742,68852.0,4880,634
17,2014,880596,298260,82008,38111.0,112664.0,80174,27488.0,15766.0,75283,356718,26591,217840,80420.0,5386,679
18,2015,1022702,352870,91470,44472.0,129289.0,96694,32876.0,18407.0,85803,414040,30422,254844,98026.0,6244,814
19,2016,815776,281040,75605,32945.0,108025.0,76677,26107.0,15249.0,68658,336406,24204,198231,82809.0,5544,835
20,2017,873456,306233,81478,35879.0,121257.0,78489,27467.0,17282.0,73211,376076,24607,205326,100907.0,5269,1172
21,2018,862149,308611,76905,34442.0,117745.0,81327,27683.0,15851.0,70573,378521,27836,204238,104373.0,5674,459
